,Program,Research Exp,TOEFL Score,greV,greQ,greA,Topper CGPA,CGPA,UG label,ranking
6647,0,0,91,150,158,3.5,9,7,90,501
6648,0,0,92,280,680,3.5,9,7,90,501
6649,0,0,82,540,750,2.5,9.1,7.22,90,501
6650,0,0,0,148,160,3,8.1,7.4,90,501
6651,0,0,109,161,164,4,9.37,9.03,90,353
6652,0,0,115,151,156,4,9,8.39,90,68
6653,0,0,109,161,164,4,9.37,9.03,90,56
6654,0,0,93,148,164,3.5,8.6,7.2,91,215
6655,0,0,93,148,164,3.5,8.6,7.2,91,801
6656,0,0,93,148,164,3.5,8.6,7.2,91,231
6657,0,0,93,148,164,3.5,8.6,7.2,91,129
6658,0,0,93,148,164,3.5,8.6,7.2,91,501
6659,0,0,100,154,156,4,9,7.5,92,262
6660,0,0,100,154,156,4,9,7.5,92,301
6661,0,0,100,154,156,4,9,7.5,92,501
6662,1,0,112,163,169,4.5,10,9.075,94,31
6663,1,0,0,590,770,3,9.875,9.65,94,111
6664,1,0,112,163,169,4.5,10,9.075,94,35
6665,1,0,112,163,169,4.5,10,9.075,94,136
6666,0,0,110,580,740,3.5,9,9.2,94,301
6667,0,0,104,600,760,4,7.9,7.52,135,262
6668,0,0,104,600,760,4,7.9,7.52,135,206
6669,0,0,104,600,760,4,7.9,7.52,135,156
6670,0,0,104,600,760,4,7.9,7.52,135,15
6671,0,0,104,600,760,4,7.9,7.52,135,56
6672,0,0,93,152,170,3.5,9,8.374,95,285
6673,0,0,0,321.993527703847,419.528591015404,4.86047423179289,9,8.2,95,111
6674,0,0,93,152,170,3.5,9,8.374,95,359
6675,0,0,0,321.993527703847,419.528591015404,4.86047423179289,9,8.2,95,359
6676,0,0,0,321.993527703847,419.528591015404,4.86047423179289,9,8.2,95,189
6677,0,0,93,152,170,3.5,9,8.374,95,167
6678,1,0,98,146,163,3,6.15,6.1,136,701
6679,1,0,98,146,163,3,6.15,6.1,136,167
6680,0,0,94,149,157,3.5,9.2,7.26,96,215
6681,0,0,104,154,161,3.5,9.4,8.7,96,215
